location,size,total_sqft,bath,price,bhk
Electronic City Phase II,2 BHK,1056.0,2.0,39.07,2
Chikka Tirupathi,4 Bedroom,2600.0,5.0,120.0,4
Lingadheeranahalli,3 BHK,1521.0,3.0,95.0,3
Whitefield,2 BHK,1170.0,2.0,38.0,2
Whitefield,4 Bedroom,2785.0,5.0,295.0,4
7th Phase JP Nagar,2 BHK,1000.0,2.0,38.0,2
Sarjapur,3 Bedroom,2250.0,3.0,148.0,3
Mysore Road,2 BHK,1175.0,2.0,73.5,2
Bisuvanahalli,3 BHK,1180.0,3.0,48.0,3
Raja Rajeshwari Nagar,3 BHK,1540.0,3.0,60.0,3
Ramakrishnappa Layout,3 BHK,2770.0,4.0,290.0,3
Binny Pete,3 BHK,1755.0,3.0,122.0,3
Thanisandra,4 Bedroom,2800.0,5.0,380.0,4
 Thanisandra,1 RK,510.0,1.0,25.25,1
Electronic City,2 BHK,660.0,1.0,23.1,2
Ramagondanahalli,2 BHK,1151.0,2.0,48.77,2
Electronic City,3 BHK,1025.0,2.0,47.0,3
Yelahanka,4 BHK,2475.0,4.0,186.0,4
Bisuvanahalli,3 BHK,1075.0,2.0,35.0,3
Hebbal,3 BHK,1760.0,2.0,123.0,3
Raja Rajeshwari Nagar,3 BHK,1693.0,3.0,57.39,3
Kanakpura Road,2 BHK,700.0,2.0,36.0,2
Kundalahalli,3 BHK,1724.0,3.0,125.0,3
Sarjapur  Road,3 BHK,1254.0,3.0,38.0,3
Ganga Nagar,1 BHK,600.0,1.0,38.0,1
Kanakpura Road,2 BHK,1330.74,2.0,91.79,2
Doddathoguru,2 BHK,970.0,2.0,33.0,2
Whitefield,2 BHK,1459.0,2.0,94.82,2
Adarsh Nagar,2 BHK,1270.0,2.0,50.0,2
Bhoganhalli,3 BHK,1670.0,3.0,99.0,3
Whitefield,3 BHK,2010.0,3.0,91.0,3
Lakshminarayana Pura,2 BHK,1185.0,2.0,75.0,2
Yelahanka,3 BHK,1600.0,2.0,75.0,3
Begur Road,2 BHK,1200.0,2.0,44.0,2
Ramakrishnappa Layout,2 BHK,1500.0,2.0,185.0,2
Ganga Nagar,2 BHK,845.0,2.0,55.0,2
Whitefield,4 Bedroom,5700.0,5.0,650.0,4
Varthur,2 BHK,1160.0,2.0,44.0,2
Gunjur,2 BHK,1140.0,2.0,43.0,2
Begur Road,2 BHK,1358.0,2.0,80.58,2
Hegde Nagar,3 BHK,1569.0,3.0,101.0,3
Haralur Road,2 BHK,1240.0,2.0,70.0,2
Hennur Road,3 BHK,2089.0,3.0,140.0,3
Cholanayakanahalli,3 BHK,2511.0,3.0,205.0,3
Kodanda Reddy Layout,3 BHK,1660.0,2.0,105.0,3
Yelahanka,2 BHK,1326.0,2.0,78.0,2
EPIP Zone,3 BHK,1499.0,5.0,102.0,3
Dasanapura,2 BHK,708.0,2.0,37.0,2
Kasavanhalli,2 BHK,1060.0,2.0,58.06,2
Sanjay nagar,2 BHK,1000.0,2.0,70.0,2
Thanisandra,2 BHK,1296.0,2.0,80.0,2
Kengeri,4 Bedroom,2894.0,4.0,245.0,4
Yeshwanthpur,3 BHK,2502.0,3.0,138.0,3
Chandapura,2 BHK,650.0,1.0,17.0,2
Kothanur,3 Bedroom,2400.0,2.0,150.0,3
Green View Layout,2 BHK,1007.0,2.0,43.0,2
Shantiniketan Layout,2 BHK,1200.0,2.0,50.0,2
Rajaji Nagar,3 BHK,1640.0,3.0,229.0,3
Devanahalli,2 BHK,1260.0,2.0,66.78,2
Byatarayanapura,3 BHK,1413.0,2.0,75.0,3
Whitefield,2 BHK,1116.0,2.0,51.91,2
Electronic City,3 BHK,1530.0,2.0,45.9,3
Sarjapur  Road,3 Bedroom,2497.0,3.0,140.0,3
